Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
MEISTER PROPER,Allzweckreiniger,"€ 1,59","€ 1,95","pro Einheit = 1,00","pro Einheit = 1,00",Citrusfrische,Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_314.jpg,cat_drogerie,,,ref_000011,obs_0000015511|obs_0000028653|obs_0000028536|obs_0000015111|obs_0000032923|obs_0000012460|obs_0000027822|obs_0000033204|obs_0000016580|obs_0000033486|obs_0000016106|obs_0000006947|obs_0000014188|obs_0000005664,obs_0000015111|obs_0000015511|obs_0000032923|obs_0000012460|obs_0000027822|obs_0000033204|obs_0000016580|obs_0000033486|obs_0000016106|obs_0000028653|obs_0000028536,,
EHRMANN,Almighurt,"€ 1,19","€ 2,39","1 kg = 2,38 - 2,54","1 kg = 2,38 - 2,54","Fruchtjoghurt, 3,8 %, versch. Sorten, oder griech. Art, 9,7 % Fett im Milchanteil (+ 0.15 Pfand)",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_138.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte",,,ref_000012,obs_0000003093|obs_0000013502|obs_0000031451|obs_0000004902|obs_0000001348|obs_0000000360|obs_0000028525|obs_0000022905|obs_0000004475|obs_0000014217|obs_0000012194|obs_0000033699|obs_0000015270|obs_0000004048|obs_0000028641|obs_0000000497|obs_0000000513|obs_0000027740|obs_0000033915|obs_0000034514|obs_0000007335|obs_0000005336|obs_0000005901|obs_0000032555|obs_0000032081|obs_0000030116,obs_0000003093|obs_0000007335|obs_0000013502|obs_0000005336|obs_0000031451|obs_0000005901|obs_0000004902|obs_0000032555|obs_0000001348|obs_0000032081|obs_0000000360|obs_0000028525|obs_0000022905|obs_0000004475|obs_0000014217|obs_0000012194|obs_0000033699|obs_0000030116|obs_0000015270|obs_0000004048|obs_0000028641|obs_0000000497,,
IZA EFFECT,Anti-Fuß- und Nagelpilzspray,"€ 14,99","€ 39,90","1 l = 149,90","1 l = 149,90",Wirkstoff Wasserstoffperoxid Mit Vitamin-E-Teebaumöl Eliminiert die Keime auf Haut und Nägeln Schafft so ein optimiertes Fußklima Beugt der Ausbreitung von Bakterien/Fußpilz vor Schützt und pflegt Haut und Nägel Anwendung ohne Abspülen (schnelltrocknend),Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_462.jpg,cat_drogerie,,,ref_000013,obs_0000010868,obs_0000010868,,
COUNTRYSIDE,Anzündkamin,"€ 6,99","€ 11,99","pro Einheit = 6,99","pro Einheit = 6,99",Aus verzinktem Stahl Griff mit Hitzeschutzblech Unterstützender Bügelgriff Für bis zu 2 kg Holzkohle oder Grillbriketts Vereinfacht das Anzünden Beschleunigt die Glutbildung Korpus ca. Ø 19 x 30 cm,Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_476.jpg,"cat_non_food,tag_ultra_processed",,,ref_000014,,,,
Aperol,Aperitivo,"€ 8,88","€ 13,99","1 l = 12,69","1 l = 12,69","Aperitif aus bitteren und süßen Orangen sowie ausgewählten Kräutern und Wurzeln, 11 Vol. %",Nein,Dieses Angebot findest du vom 13.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-13,2026-04-15,../images/kaufland/kaufland_offer_018.jpg,"cat_getraenke,sub_tk_fertiggerichte,tag_high_protein",,,ref_000015,obs_0000013069|obs_0000008990|obs_0000020899|obs_0000003633|obs_0000009522|obs_0000021836|obs_0000020080|obs_0000015485|obs_0000009984|obs_0000008244|obs_0000010091|obs_0000003572|obs_0000001345|obs_0000002969|obs_0000001820|obs_0000021548|obs_0000031404|obs_0000021817|obs_0000006214|obs_0000018389|obs_0000000860|obs_0000007649|obs_0000006003|obs_0000032755|obs_0000011128|obs_0000020729|obs_0000029262|obs_0000000857|obs_0000001269|obs_0000005262,obs_0000013069|obs_0000008990|obs_0000020899|obs_0000003633|obs_0000009522|obs_0000008244|obs_0000021836|obs_0000007649|obs_0000010091|obs_0000020080|obs_0000006003|obs_0000003572|obs_0000015485|obs_0000009984,,x
K-CLASSIC,Apfelsaft,"€ 0,88","€ 1,19","pro Einheit = 1,00","pro Einheit = 1,00","klar, aus Apfelsaftkonzentrat, 100 % Fruchtgehalt",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_272.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,BLS-F110600,ref_000016,obs_0000012415|obs_0000009982|obs_0000031216|obs_0000031745|obs_0000027820|obs_0000008232|obs_0000027495|obs_0000003589|obs_0000029410|obs_0000034232|obs_0000016646|obs_0000010908|obs_0000013831,obs_0000012415|obs_0000031216|obs_0000031745|obs_0000027820|obs_0000009982,,
SWITZERLAND,Appenzeller mild-würzig,"€ 2,22",,"pro Einheit = 100,00","pro Einheit = 100,00","schweiz. Schnittkäse, mind. 3 Monate gereift, 48 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_160.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte",,,ref_000017,obs_0000011897|obs_0000013070|obs_0000015815|obs_0000012811|obs_0000015395|obs_0000011483|obs_0000011051|obs_0000008426|obs_0000031242|obs_0000034288,obs_0000011897|obs_0000013070|obs_0000015815,,
Keine Marke,Argent chilen Bio-Tafelbirnen,"€ 2,29","€ 2,79","1 kg = 4,58","1 kg = 4,58","Sorte laut Auszeichung, Kl. I",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_066.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,,ref_000018,obs_0000008373|obs_0000008712|obs_0000010484|obs_0000028513|obs_0000028627,,,
LUMINARC,Auflaufform rund Smart Cuisine Wavy,"€ 4,99",,"pro Einheit = 4,99","pro Einheit = 4,99",Aus gehärtetem Glas Sehr hohe Kratz- und Stoßfestigkeit Backofengeeignet bis 250 °C Spülmaschinengeeignet Größe ca. Ø 26 x 7 cm,Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_389.jpg,cat_non_food,,,ref_000019,obs_0000011225|obs_0000016018|obs_0000012983,,,
LUMINARC,Auflaufform Smart Cuisine Wavy,"€ 4,99",,"pro Einheit = 4,99","pro Einheit = 4,99","Aus gehärtetem Glas Sehr hohe Kratz- und Stoßfestigkeit Backofengeeignet bis 250 °C Spülmaschinengeeignet Größe ca. B 30 x H 5,8 x T 22 cm",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_388.jpg,"cat_non_food,diet_vegetarian",,,ref_000020,obs_0000016018|obs_0000012983,,,
PLATINUM,Autopflege SpraySensation,"€ 19,99","€ 39,90","1 l = 39,98","1 l = 39,98","Für strahlende Sauberkeit ganz ohne Wasser Poliert, pflegt, versiegelt in einem Arbeitsgang Sprühflasche motorbetrieben Inkl. Mikrofasertuch",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_463.jpg,cat_drogerie,,,ref_000021,,,,
NUTELLA,B-Ready,"€ 1,69","€ 2,39","1 kg = 12,81","1 kg = 12,81","knusprige Waffeln, gefüllt mit Nuss-Nugat-Creme",Nein,Dieses Angebot findest du vom 13.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-13,2026-04-15,../images/kaufland/kaufland_offer_601.jpg,"cat_knabbern_naschen,tag_ultra_processed",,,ref_000022,obs_0000013084|obs_0000022882|obs_0000015477|obs_0000027540|obs_0000032010|obs_0000030992|obs_0000026643|obs_0000016031|obs_0000034474|obs_0000006508|obs_0000016016|obs_0000016026,obs_0000013084|obs_0000022882|obs_0000015477,,
Severin,Back- und Toastofen TO 9560,"€ 49,99",,"pro Einheit = 49,99","pro Einheit = 49,99","Garraum ca. 20 l Auch für große Pizzen und Kuchenformen geeignet Temperaturbereich von 100 bis 230 °C 4-Stufen-Schalter (Ober-/Unterhitze/Kombi/Aus) 60-min-Timer Herausnehmbares Krümelblech Größe ca. B 44 x H 30 x T 40 cm 1.500 W Inkl. Pizzastein, Grillrost und Backblech",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_347.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed",,,ref_000023,,,,x
DR OETKER,Backmischung,"€ 1,99","€ 3,79","1 kg = 8,21 - 13,54","1 kg = 8,21 - 13,54","für Cinnamon Rolls, Brookies, Muffins oder Brownies, versch. Sorten",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_222.jpg,"cat_grundnahrung,tag_ultra_processed",,,ref_000024,obs_0000014392|obs_0000017486|obs_0000013511|obs_0000016698|obs_0000019833|obs_0000011099|obs_0000024607|obs_0000004129|obs_0000020009|obs_0000003410|obs_0000004983|obs_0000019837|obs_0000021949|obs_0000004556|obs_0000018407|obs_0000024609|obs_0000024623|obs_0000024625|obs_0000024628|obs_0000024629|obs_0000023622|obs_0000026456|obs_0000006495|obs_0000019824|obs_0000024608|obs_0000007018|obs_0000006653,obs_0000014392|obs_0000017486|obs_0000014006|obs_0000013511|obs_0000003332|obs_0000016698|obs_0000019829|obs_0000019833|obs_0000002465,,
K-CLASSIC,Bacon-Scheiben,"€ 1,11",,"1 kg = 11,10","1 kg = 11,10","roher Bauchspeck, gepökelt und geräuchert",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_112.jpg,"cat_fleisch_wurst,diet_vegetarian,sub_kaese,sub_milchprodukte,sub_schwein,tag_ultra_processed",,,ref_000025,obs_0000014386|obs_0000010432|obs_0000013086|obs_0000007859|obs_0000026814|obs_0000020750|obs_0000025059|obs_0000012775|obs_0000011008|obs_0000001018|obs_0000001019|obs_0000021569|obs_0000007431|obs_0000014146,obs_0000014386|obs_0000010432|obs_0000013086,,
LIV BO,Bad-Hochschrank Corfu,"€ 39,99",,"pro Einheit = 39,99","pro Einheit = 39,99",Modernes Design mit Eiche-Artisan-Nachbildung Mit höhenverstellbaren Einlegeböden 2 offene Ablagefächer Pflegeleichte Melaminharzbeschichtung Tür beidseitig montierbar Griffe aus Metall Mit stabilen Standfüßen Obere Ablagefläche max. 5 kg Je Einlegeboden max. 3 kg Größe ca. B 32 x H 180 x T 28 cm Inkl. Montagematerial,Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_336.jpg,"cat_non_food,tag_ultra_processed",,,ref_000026,obs_0000013515|obs_0000013517|obs_0000025617|obs_0000019511|obs_0000018395,obs_0000013515,,
LIV BO,Bad-Seitenschrank Corfu,"€ 34,99",,"pro Einheit = 34,99","pro Einheit = 34,99",Modernes Design mit Eiche-Artisan-Nachbildung Leichtgängige Schubladen mit Metallauszügen Mit höhenverstellbarem Einlegeboden Pflegeleichte Melaminharzbeschichtung Tür beidseitig montierbar Griffe aus Metall Mit stabilen Standfüßen Obere Ablagefläche max. 5 kg Einlegeboden max. 3 kg Größe ca. B 32 x H 98 x T 28 cm Inkl. Montagematerial,Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_335.jpg,cat_non_food,,,ref_000027,obs_0000013517|obs_0000013515|obs_0000016406|obs_0000017028|obs_0000023448|obs_0000025610|obs_0000017992|obs_0000019725|obs_0000020485|obs_0000021304|obs_0000025417|obs_0000023462,obs_0000013517,,
COUNTRYSIDE,Balkonsichtschutz,"€ 6,99",,"pro Einheit = 1,56","pro Einheit = 1,56",Aus robustem Kunststoff (HDPE) Temperaturbeständig (-30 bis +60 °C) Mit 24 Alu-Ösen und Kordel (ca. 24 m) Größe ca. 600 x 75 cm 3 Jahre Garantie,Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_418.jpg,cat_non_food,,,ref_000028,,,,
PHILIPS,Bartschneider BT3615 15,"€ 19,99","€ 34,99","pro Einheit = 19,99","pro Einheit = 19,99","Selbstschärfende Klingen Klingen mit abgerundeten Spitzen 20 Schnittlängen einstellbar (0,5 - 20 mm) Lift-&-Trimm-Kämme heben das Haar an Abwaschbar Akku-Laufzeit bis zu 60 min LED-Ladestandsanzeige USB-A-Ladeanschluss Inkl. Reinigungsbürste",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_364.jpg,cat_non_food,,,ref_000029,obs_0000023263|obs_0000022895|obs_0000023455,,,
HÄNDLMAIER,Bayerischer Senf,"€ 1,49","€ 1,79","1 l = 4,45","1 l = 4,45","süßer Hausmacher-, Altbayerischer- oder Weißwurst-Senf",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_189.jpg,cat_grundnahrung,,,ref_000030,obs_0000015410|obs_0000011068|obs_0000014534|obs_0000031812,obs_0000015410|obs_0000011068|obs_0000014534,,
COBURGER,Bayr Landkäse,"€ 2,99","€ 3,59","1 kg = 8,55","1 kg = 8,55","cremig-würziger Weichkäse mit Rotkulturen, Doppelrahmstufe",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_148.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte",,,ref_000031,obs_0000011047|obs_0000014492|obs_0000009758|obs_0000014374|obs_0000028743,obs_0000011047|obs_0000014492,,
VITAKRAFT,Beef- oder Fish-Stick,"€ 0,33",,"1 kg = 22,00 - 27,50","1 kg = 22,00 - 27,50","Hundesnack, versch. Sorten",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_331.jpg,"cat_drogerie,tag_ultra_processed",,,ref_000032,obs_0000011179|obs_0000013526|obs_0000033864|obs_0000027319|obs_0000002886,obs_0000011179|obs_0000013526,,
SALZBURGMILCH,Bergkäse oder Heujuwel,"€ 2,22","€ 3,29","1 kg = 8,88","1 kg = 8,88","Premium Original Bergkäse oder Premium Heujuwel, aus Heumilch, würzig-kräftig, 50 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 13.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-13,2026-04-15,../images/kaufland/kaufland_offer_596.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_kaese,sub_milchprodukte,tag_ultra_processed",,,ref_000033,obs_0000011332|obs_0000012326|obs_0000013094|obs_0000014951|obs_0000016093|obs_0000008766|obs_0000033971|obs_0000022817|obs_0000022831,obs_0000011332|obs_0000012326|obs_0000013094|obs_0000014951,,
Keine Marke,Bettwäsche-Set Squishmallows,"€ 14,99",,"pro Einheit = 2,00","pro Einheit = 2,00",Aus Baumwolle Größe ca. 135 x 200/80 x 80 cm,Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_449.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000034,obs_0000010547|obs_0000008944|obs_0000016078|obs_0000012228|obs_0000012230|obs_0000026412,,,
Keine Marke,Bettwäsche-Set Super Mario,"€ 14,99",,"pro Einheit = 2,00","pro Einheit = 2,00",Aus Baumwolle Größe ca. 135 x 200/80 x 80 cm,Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_450.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000035,obs_0000026412,,,
K-BIO,Bio-Black-Tiger-Garnelen,"€ 4,39",,"1 kg = 24,39","1 kg = 24,39","mit Schutzeisglasur, roh, entdarmt, gesalzen, ohne Kopf",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_171.jpg,"cat_tiefkuehl,diet_lactose_free,diet_vegan,diet_vegetarian",,,ref_000036,obs_0000007811|obs_0000007405|obs_0000000369|obs_0000001313|obs_0000001520|obs_0000003502|obs_0000003631|obs_0000004067|obs_0000004494|obs_0000004921,,,
K-BIO,Bio-Couscous,"€ 1,05",,"1 kg = 2,10","1 kg = 2,10","ideal für Salate, als Beilage und mehr",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_214.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000037,obs_0000030021|obs_0000031591,,,
K-BIO,Bio-Hummus,"€ 1,29",,"1 kg = 6,45","1 kg = 6,45","classic, fein abgeschmeckt",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_175.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000038,obs_0000006145|obs_0000029488|obs_0000013249|obs_0000031633|obs_0000029282,,,
K-BIO,Bio-Kichererbsenwaffeln,"€ 1,35",,"1 kg = 13,50","1 kg = 13,50",mit Meersalz,Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_204.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte,tag_whole_food",,,ref_000039,,,,
K-BIO,Bio-Kochhinterschinken,"€ 2,79",,"1 kg = 27,90","1 kg = 27,90","Spitzenqualität, gepökelt, schonend gegart",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_110.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_schwein,sub_wurst,tag_ultra_processed",,,ref_000040,obs_0000008869|obs_0000026780|obs_0000026817|obs_0000011852,obs_0000008869|obs_0000026780|obs_0000026817|obs_0000011852,,
K-BIO,Bio-Stieleis Classic,"€ 3,19",,"1 l = 11,82","1 l = 11,82","mit Bourbon-Vanilleeiscreme, überzogen mit Zartbitterschokolade",Nein,Dieses Angebot findest du vom 09.04. bis 15.04. in deiner Kaufland-Filiale.,2026-04-09,2026-04-15,../images/kaufland/kaufland_offer_165.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000041,obs_0000024877|obs_0000025668|obs_0000001628|obs_0000001643|obs_0000034649|obs_0000026776|obs_0000026884|obs_0000035101|obs_0000011543|obs_0000028751|obs_0000020596|obs_0000028861|obs_0000021415|obs_0000013433|obs_0000014962|obs_0000015018|obs_0000031658,,,
