Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Gueltig_raw,Gueltig_von,Gueltig_bis
Frites,McCain,"€ 1,59",Kein vorheriger Preis,"€ 2,12 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Dominosteine,Favorina,"€ 2,99",Kein vorheriger Preis,"€ 11,96 / kg -",17.10. - 18.10.,2025-10-17,2025-10-18
Sauvignon Blanc Blush,Cimarosa,"€ 5,99",Kein vorheriger Preis,"€ 7,99 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Chicken-Bucket Paprika,Metzgerfrisch,"€ 7,99",Kein vorheriger Preis,"€ 4,00 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Halloween-­Kürbis Fruchtgummi,Keine Marke,"€ 3,49",Kein vorheriger Preis,"€ 17,45 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Gouda Jung,Milbona,"€ 4,99",Kein vorheriger Preis,"€ 7,13 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Eisenbahnset,Playtive,"€ 24,99",Kein vorheriger Preis,"€ 24,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
M Riesling,Markus Molitor,"€ 8,99",Kein vorheriger Preis,"€ 8,99 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Kitchen Tools Eiswürfelmaschine SEMD 130 A1,SilverCrest,"€ 99,99",Kein vorheriger Preis,"€ 99,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Hanuta Minis,Ferrero,"€ 3,79",Kein vorheriger Preis,"€ 13,58 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Herbstlasagne,Chef Select,"€ 4,49",Kein vorheriger Preis,"€ 5,61 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Nescafé Classic,Nestlé,"€ 6,49",Kein vorheriger Preis,"€ 32,45 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Bierschinken,Dulano,"€ 1,29",Kein vorheriger Preis,"€ 12,90 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Puten-Hacksteaks,Metzgerfrisch,"€ 2,22",Kein vorheriger Preis,"€ 6,94 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Mini Rolls,Babybel,"€ 2,69",Kein vorheriger Preis,"€ 14,94 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Sprossenwand Athlet 1W,Idealfit,"€ 155,00",Kein vorheriger Preis,"€ 155,00 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
mit Butter XXL,Rama,"€ 1,99",Kein vorheriger Preis,"€ 4,97 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Wolfsbarsch,Fischerstolz,"€ 8,25",Kein vorheriger Preis,"€ 15,00 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Funksteckdosen-Set,Tronic,"€ 16,99",Kein vorheriger Preis,"€ 16,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Yes Cacao,Nestlé,"€ 1,79",Kein vorheriger Preis,"€ 54,24 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Touch,Volvic,"€ 1,19",Kein vorheriger Preis,"€ 0,79 / l -",13.10. - 18.10.,2025-10-13,2025-10-18
Performance Akku-Baumpflegesäge PPAKS 40-Li A1,Parkside,"€ 89,99",Kein vorheriger Preis,"€ 89,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Wasserfilterkartuschen Maxtra Pro,Brita,"€ 23,99",Kein vorheriger Preis,"€ 23,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Schweinegulasch,Metzgerfrisch,"€ 3,29",Kein vorheriger Preis,"€ 6,58 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Bügeltisch Universal,Vileda,"€ 29,99",Kein vorheriger Preis,"€ 29,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Kaubo Cubyys,Sweet Corner,"€ 0,79",Kein vorheriger Preis,"€ 3,59 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Lachslocken,Fjørd Fiskursson,"€ 1,49",Kein vorheriger Preis,"€ 9,93 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Fruchtgummi,Sweet Corner,"€ 0,89",Kein vorheriger Preis,"€ 2,97 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
LED-Lichtervorhang,Livarno Home,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Gourmet-Maultaschen,Schwaben Krone,"€ 3,99",Kein vorheriger Preis,"€ 9,97 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Frucht Kaubonbons,Sweet Corner,"€ 1,69",Kein vorheriger Preis,"€ 3,38 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Nescafé Dolce Gusto Piccolo X,Krups,"€ 39,99",Kein vorheriger Preis,"€ 39,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
LED-Echtwachskerze,Livarno Home,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Reine Buttermilch,Milbona,"€ 0,59",Kein vorheriger Preis,"€ 1,18 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Gnocchi Kürbis,Chef Select,"€ 1,49",Kein vorheriger Preis,"€ 3,31 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Damen Flanell-Bigshirt,Esmara,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Nesquik Snack Kakao,Nestlé,"€ 1,99",Kein vorheriger Preis,"€ 9,57 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Laktosefreie Schlagsahne,Milbona,"€ 1,15",Kein vorheriger Preis,"€ 5,75 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Irish Whiskey,Jameson,"€ 14,99",Kein vorheriger Preis,"€ 21,41 / l -",13.10. - 18.10.,2025-10-13,2025-10-18
Zaziki,Milbona,"€ 1,65",Kein vorheriger Preis,"€ 3,30 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Creme Fraiche,Milbona,"€ 1,09",Kein vorheriger Preis,"€ 5,45 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Kaffeevollautomat Quattro Force EA8178,Krups,"€ 299,00",Kein vorheriger Preis,"€ 299,00 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Elektrischer Handtuchhalter SHH 150 E2,Tronic,"€ 39,99",Kein vorheriger Preis,"€ 39,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
2.1-Slim-Soundbar,Sharp,"€ 59,99",Kein vorheriger Preis,"€ 59,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Wanduhr,Auriol,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Frühlings Quark,Milram,"€ 1,99",Kein vorheriger Preis,"€ 5,25 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Fritteuse,SilverCrest,"€ 24,99",Kein vorheriger Preis,"€ 24,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
LED-Tischleuchte,Livarno Home,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
O’s Classic,Halloren,"€ 1,29",Kein vorheriger Preis,"€ 10,32 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Halloween Kaubonbon Streifen Wednesday vegan,Keine Marke,"€ 1,49",Kein vorheriger Preis,"€ 7,45 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
LED-Lichtband,Livarno Home,"€ 3,29",Kein vorheriger Preis,"€ 3,29 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Kaminofenventilator,Tronic,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Halloween Schoko Lolly Wednesday,Keine Marke,"€ 2,49",Kein vorheriger Preis,"€ 16,60 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Physalis,Keine Marke,"€ 1,39",Kein vorheriger Preis,"€ 13,90 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Kitchen Tools Digitaler Reiskocher,SilverCrest,"€ 29,99",Kein vorheriger Preis,"€ 29,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Holzlebensmittel-Set,Lupilu,"€ 5,99",Kein vorheriger Preis,"€ 5,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Zimtschnecken Kombi,Chef Select,"€ 2,99",Kein vorheriger Preis,"€ 4,98 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Spinat,Iglo,"€ 1,79",Kein vorheriger Preis,"€ 2,39 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Holz-Laptop,Lupilu,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Selection Herbstgenuss,Dulano,"€ 3,49",Kein vorheriger Preis,"€ 12,46 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Krustenschinkenbraten,Deluxe,"€ 1,99",Kein vorheriger Preis,"€ 16,58 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
All-in-One-Drucker Smart Tank 5106,Hewlett Packard (HP),"€ 159,00",Kein vorheriger Preis,"€ 159,00 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Elektrischer Zug,Lupilu,"€ 9,99",Kein vorheriger Preis,"€ 3,33 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Original,Bifi,"€ 1,99",Kein vorheriger Preis,"€ 16,58 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Fuet extra,Sol & Mar,"€ 1,99",Kein vorheriger Preis,"€ 11,71 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Spezialität,Funny Frisch,"€ 1,19",Kein vorheriger Preis,"€ 14,87 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Oberschwäbische Land-Nudeln,Dorfmühle,"€ 1,99",Kein vorheriger Preis,"€ 3,98 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Hirschgulasch,Deluxe,"€ 7,99",Kein vorheriger Preis,"€ 19,97 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Kinder Schokolade,Ferrero,"€ 1,49",Kein vorheriger Preis,"€ 11,92 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Birnen,Keine Marke,"€ 2,79",Kein vorheriger Preis,"€ 2,79 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Supersoft Premium Toilettenpapier,Floralys,"€ 7,99",Kein vorheriger Preis,"€ 0,40 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Monitor,Chiq,"€ 99,99",Kein vorheriger Preis,"€ 99,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Nesquik Original XXL,Nestlé,"€ 5,49",Kein vorheriger Preis,"€ 5,49 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Kinder Maxi Mix Adventskalender,Ferrero,"€ 14,99",Kein vorheriger Preis,"€ 42,71 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Kaergarden Butter,Arla,"€ 1,99",Kein vorheriger Preis,"€ 7,96 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Thermo-Strumpfhose,Esmara,"€ 2,99",Kein vorheriger Preis,"€ 2,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Haltbare Schlagsahne XXL,Milbona,"€ 1,99",Kein vorheriger Preis,"€ 3,98 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Thunfisch-Filets,Saupiquet,"€ 3,99",Kein vorheriger Preis,"€ 12,47 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Fruchtsecco,Rotkäppchen,"€ 2,69",Kein vorheriger Preis,"€ 3,59 / l -",09.10. - 11.10.,2025-10-09,2025-10-11
Pastéis De Nata,Keine Marke,"€ 2,99",Kein vorheriger Preis,"€ 8,31 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Ganze Bohnen,Käfer Kaffee,"€ 12,99",Kein vorheriger Preis,"€ 12,99 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Birnen Alexander Lucas,Keine Marke,"€ 1,79",Kein vorheriger Preis,"€ 1,19 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Vegan Orangensaft XXL,Solevita,"€ 3,45",Kein vorheriger Preis,"€ 1,73 / l -",09.10. - 11.10.,2025-10-09,2025-10-11
Miesmuscheln,Fischerstolz,"€ 2,29",Kein vorheriger Preis,"€ 2,29 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Carta Rotina Sekt,Freixenet,"€ 3,99",Kein vorheriger Preis,"€ 5,32 / l -",16.10. - 18.10.,2025-10-16,2025-10-18
Hähnchen Kebab XXL,Metzgerfrisch,"€ 5,99",Kein vorheriger Preis,"€ 7,49 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Kichererbsen,Sol & Mar,"€ 1,19",Kein vorheriger Preis,"€ 2,25 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Saugroboter SSRA C2,SilverCrest,"€ 129,00",Kein vorheriger Preis,"€ 129,00 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Crackers,Ritz,"€ 1,49",Kein vorheriger Preis,"€ 7,45 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Pfanne Resistal Ceramic Stone 28cm,Tefal,"€ 24,99",Kein vorheriger Preis,"€ 24,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Bio Mozzarella,Milbona,"€ 1,29",Kein vorheriger Preis,"€ 10,32 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Raffaello,Ferrero,"€ 3,29",Kein vorheriger Preis,"€ 21,93 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Cockpit-­Tücher,W5,"€ 1,99",Kein vorheriger Preis,"€ 0,07 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Performance Akku-Bohrschrauber,Parkside,"€ 29,99",Kein vorheriger Preis,"€ 29,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Hähnchen-Rouladen,Metzgerfrisch,"€ 5,49",Kein vorheriger Preis,"€ 9,98 / kg -",10.10. - 11.10.,2025-10-10,2025-10-11
AdBlue,W5,"€ 9,95",Kein vorheriger Preis,"€ 0,99 / l -",13.10. - 18.10.,2025-10-13,2025-10-18
Bio Traditions-Fleischwurst,Metzgerfrisch,"€ 2,89",Kein vorheriger Preis,"€ 11,56 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Bio Nürnberger Rostbratwurst,Metzgerfrisch,"€ 3,99",Kein vorheriger Preis,"€ 15,96 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Carré Gourmet,Président,"€ 2,29",Kein vorheriger Preis,"€ 11,45 / kg -",10.10. - 11.10.,2025-10-10,2025-10-11
Backteig Tintenfischringe,Sol & Mar,"€ 5,99",Kein vorheriger Preis,"€ 7,99 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Bio-Salami,Metzgerfrisch,"€ 2,49",Kein vorheriger Preis,"€ 19,92 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Magical Shine Reinigungspaste,W5,"€ 1,99",Kein vorheriger Preis,"€ 3,98 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Sägeblattset,Parkside,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Bio Käse gerieben,Ein Gutes Stück Bayern,"€ 1,79",Kein vorheriger Preis,"€ 11,93 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Mousse au Chocolat,Deluxe,"€ 3,79",Kein vorheriger Preis,"€ 10,83 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Sardellenfilets,Sol & Mar,"€ 1,99",Kein vorheriger Preis,"€ 22,11 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Delikatess Katenschinken,Dulano,"€ 1,99",Kein vorheriger Preis,"€ 7,96 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Handkreissäge PHKS 750 A1,Parkside,"€ 29,99",Kein vorheriger Preis,"€ 29,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Duroc Jamón Serrano,Deluxe,"€ 19,00",Kein vorheriger Preis,"€ 20,00 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Wäscheständer Static One,Vileda,"€ 29,99",Kein vorheriger Preis,"€ 29,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Delikatess Wiener Würstchen,Dulano,"€ 5,99",Kein vorheriger Preis,"€ 5,99 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Macarons,Deluxe,"€ 3,49",Kein vorheriger Preis,"€ 24,24 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Microfibre Colours Allzwecktücher XXL,Vileda,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Vegane Rostbratwürstel-Alternative,Vemondo,"€ 1,49",Kein vorheriger Preis,"€ 8,28 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
LED Leuchtstern,Livarno Home,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Activia XXL,Danone,"€ 2,89",Kein vorheriger Preis,"€ 3,14 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
4 Mini Kartoffelgratins Emmentaler,Deluxe,"€ 2,99",Kein vorheriger Preis,"€ 7,48 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Rinder-Cevapcici XXL,Metzgerfrisch,"€ 8,99",Kein vorheriger Preis,"€ 11,24 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Nussini Riegel,Milka,"€ 1,99",Kein vorheriger Preis,"€ 12,68 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Ganzjahresbettdecke,Fjödur,"€ 119,00",Kein vorheriger Preis,"€ 119,00 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Dampfbürste ST 6150L,Grundig,"€ 24,99",Kein vorheriger Preis,"€ 24,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Damen Shaping-Jeggings,Esmara,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Performance Akku-Handkreissäge PHKSAP 12 A1,Parkside,"€ 47,99",Kein vorheriger Preis,"€ 47,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Schminktisch,Lupilu,"€ 44,99",Kein vorheriger Preis,"€ 5,00 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Wildgulasch,Deluxe,"€ 3,99",Kein vorheriger Preis,"€ 13,30 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Gulasch gemischt XXL,Metzgerfrisch,"€ 7,49",Kein vorheriger Preis,"€ 9,36 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Haltbare Vollmilch,Milbona,"€ 0,89",Kein vorheriger Preis,"€ 0,89 / l -",13.10. - 18.10.,2025-10-13,2025-10-18
Latte Macchiato,Milbona,"€ 0,59",Kein vorheriger Preis,"€ 1,79 / l -",13.10. - 18.10.,2025-10-13,2025-10-18
Baby Wagenoverall,Lupilu,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Performance Akku-Winkelschleifer PPWSA 12 A1,Parkside,"€ 39,99",Kein vorheriger Preis,"€ 39,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Pflanzen Frostschutz,Parkside,"€ 1,99",Kein vorheriger Preis,"€ 1,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Schmetterlingsorchideen,Keine Marke,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Kinder Skihelm,Crivit,"€ 49,99",Kein vorheriger Preis,"€ 49,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
LED-Handbrause,Livarno Home,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Performance Exzenterschleifer PPEXS 750 B2,Parkside,"€ 49,99",Kein vorheriger Preis,"€ 49,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Pflanzenschutz,Parkside,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Gewürztraminer Spätlese Lieblich,Keine Marke,"€ 4,99",Kein vorheriger Preis,"€ 6,65 / l -",13.10. - 18.10.,2025-10-13,2025-10-18
Kuscheldecke,Keine Marke,"€ 12,99",Kein vorheriger Preis,"€ 6,50 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Duroplast-WC-Sitz,Livarno Home,"€ 12,49",Kein vorheriger Preis,"€ 12,49 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Joghurt,Milbona,"€ 0,89",Kein vorheriger Preis,"€ 1,78 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Heidekraut,Keine Marke,"€ 1,99",Kein vorheriger Preis,"€ 1,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Joghurt,Milbona,"€ 0,99",Kein vorheriger Preis,"€ 1,65 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Konvektor TKM 2000 B3,Tronic,"€ 18,99",Kein vorheriger Preis,"€ 18,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Dampfbügelstation CareStyle Compact,Braun,"€ 99,99",Kein vorheriger Preis,"€ 99,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Food-Processor MCM3501M,Bosch,"€ 79,99",Kein vorheriger Preis,"€ 79,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Skyr Natur,Milbona,"€ 1,49",Kein vorheriger Preis,"€ 2,98 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Käseplatte,Sol & Mar,"€ 3,29",Kein vorheriger Preis,"€ 21,93 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Stielkasserolle Kupfer 16 cm,SilverCrest,"€ 39,99",Kein vorheriger Preis,"€ 39,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Weihnachtsbaumständer,Livarno Home,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Kondensmilch,Milbona,"€ 0,79",Kein vorheriger Preis,"€ 2,32 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
LED-Galaxielichterkette,Livarno Home,"€ 14,99",Kein vorheriger Preis,"€ 0,03 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Geschirrspülmaschine SGW 860 A1,SilverCrest,"€ 199,00",Kein vorheriger Preis,"€ 199,00 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Premium Lamm-Filets,Metzgerfrisch,"€ 14,00",Kein vorheriger Preis,"€ 28,00 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Tischgruppe Kira,byLiving,"€ 279,00",Kein vorheriger Preis,"€ 279,00 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Backformen,Original Kaiser,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Kitchen Tools Grill- und Backautomat SGB 1200 B5,SilverCrest,"€ 39,99",Kein vorheriger Preis,"€ 39,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Instant Kaffee Gold,Dallmayr,"€ 7,49",Kein vorheriger Preis,"€ 37,45 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Schweinenacken,Metzgerfrisch,"€ 3,48",Kein vorheriger Preis,"€ 5,80 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Bio Basmati Reis,Golden Sun,"€ 1,79",Kein vorheriger Preis,"€ 3,58 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Trolley Reisekoffer,TopMove,"€ 27,99",Kein vorheriger Preis,"€ 27,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
6in1 WC Duft und Farbspüler,Cillit Bang,"€ 2,49",Kein vorheriger Preis,"€ 35,57 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Damen Mantel,Esmara,"€ 24,99",Kein vorheriger Preis,"€ 24,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Rohe Garnelen,Sol & Mar,"€ 9,99",Kein vorheriger Preis,"€ 12,49 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Weißkohl,Keine Marke,"€ 0,69",Kein vorheriger Preis,"€ 0,69 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Herren-Grobstrickpullover,Esmara,"€ 12,99",Kein vorheriger Preis,"€ 12,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Schweine Mini Knusperchen Cornflakes,Metzgerfrisch,"€ 6,99",Kein vorheriger Preis,"€ 7,28 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Trauben,Keine Marke,"€ 2,39",Kein vorheriger Preis,"€ 2,39 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Vital­-Kürbiskernbrot,Lidl Backshop,"€ 1,99",Kein vorheriger Preis,"€ 2,65 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Toaster,SilverCrest,"€ 19,99",Kein vorheriger Preis,"€ 19,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Hähnchen Unterkeulen,Metzgerfrisch,"€ 2,99",Kein vorheriger Preis,"€ 4,98 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Edelstahl-Rührschüssel-Set,SilverCrest,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Hähnchenbällchen,Metzgerfrisch,"€ 5,99",Kein vorheriger Preis,"€ 5,99 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Pinky Donuts,Lidl Backshop,"€ 1,99",Kein vorheriger Preis,"€ 9,39 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Lachsfilet-Portionen,Fischerstolz,"€ 16,99",Kein vorheriger Preis,"€ 16,99 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
LED-Lichterkette,Livarno Home,"€ 2,99",Kein vorheriger Preis,"€ 2,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Kinder-Ski-Hose,Crivit,"€ 17,99",Kein vorheriger Preis,"€ 17,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Herren Thermo-Socken 3 Paar,Esmara,"€ 2,69",Kein vorheriger Preis,"€ 0,90 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Speyside Single Malt Scotch Whisky,Ben Bracken,"€ 49,99",Kein vorheriger Preis,"€ 71,41 / l -",13.10. - 18.10.,2025-10-13,2025-10-18
Wichteltür-Set,Livarno Home,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Baby Winterstiefel,Lupilu,"€ 12,99",Kein vorheriger Preis,"€ 12,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Bio Crème Fraîche,Milbona,"€ 1,09",Kein vorheriger Preis,"€ 7,27 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
