Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
Kanal-Soundbar SB550,JBL,"€ 179,00",Kein vorheriger Preis,"€ 179,00 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0014.jpg,0
Mini Weihnachtsgebäck,Deluxe,"€ 3,79",Kein vorheriger Preis,"€ 14,04 / kg -",Versch. Sorten. Je 270/220 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Punktschweißzange PPSZ 700 A1,Parkside,"€ 99,99",Kein vorheriger Preis,"€ 99,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0008.jpg,0
Hochdruckreiniger,Kärcher,"€ 89,99",Kein vorheriger Preis,"€ 89,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Wassersprudler Gaia,Sodastream,"€ 49,99",Kein vorheriger Preis,"€ 49,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0005.jpg,0
Zanderfiletportionen,Deluxe,"€ 6,99",Kein vorheriger Preis,"€ 15,53 / kg -",Mit Haut. Je 500 g Abtropfgewicht: 450 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0002.jpg,0
Kopfkissen,Dunlopillo,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",Details im Prospekt – Preis variiert je nach Größe und Variante,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0035.jpg,0
Venen-Massagegerät SFM 90,Sanitas,"€ 49,99",Kein vorheriger Preis,"€ 49,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Dampfbügelstation PSG2000/80,Philips,"€ 64,99",Kein vorheriger Preis,"€ 64,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Saug- und Wischroboter,Ecovacs,"€ 149,00",Kein vorheriger Preis,"€ 149,00 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0032.jpg,0
Kinder Weihnachtsmann Milky Caramel,Ferrero,"€ 2,99",Kein vorheriger Preis,"€ 27,18 / kg -",Je 110 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0031.jpg,0
Pasta,Deluxe,"€ 1,99",Kein vorheriger Preis,"€ 3,98 / kg -",Versch. Sorten. Je 500 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Autokindersitz Nova 360° Rotation,BabyGo,"€ 129,00",Kein vorheriger Preis,"€ 129,00 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0036.jpg,0
3-Kammer-Feder-Kopfkissen,Fjödur,"€ 34,99",Kein vorheriger Preis,"€ 34,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0037.jpg,0
Dão Reserva,Torre de Ferro,"€ 29,99",Kein vorheriger Preis,"€ 6,66 / l -","HINWEIS: NUR ONLINE VERFÜGBAR DOC Rotwein, trocken Dão/Portugal Je 6x 0,75 l",Ja,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0044.jpg,0
Cherrystrauchtomaten,Keine Marke,"€ 1,99",Kein vorheriger Preis,"€ 3,98 / kg -",HINWEIS: MIT LIDL PLUS APP Ursprung: Spanien/Niederlande/Italien Klasse I Je 500 g Normalpreis: 2.99,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0045.jpg,0
TFT-Monitor MP272LFL Pro,MSI,"€ 99,99",Kein vorheriger Preis,"€ 99,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0046.jpg,0
White Tiger Garnelenring,Deluxe,"€ 4,99",Kein vorheriger Preis,"€ 18,48 / kg -",ASC Je 300 g Abtropfgewicht: 270 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Balkonkraftwerk Ecoflow,Vale,"€ 229,00",Kein vorheriger Preis,"€ 229,00 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Pinot Grigio Delle Venezie Rose,Guerrieri Rizzardi,"€ 24,99",Kein vorheriger Preis,"€ 5,55 / l -","HINWEIS: NUR ONLINE VERFÜGBAR DOC, Roséwein, trocken Venetien/Italien Je 6x 0,75 l",Ja,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0038.jpg,0
Ambleside Shiraz South Australia Rotwein,Keine Marke,"€ 5,49",Kein vorheriger Preis,"€ 7,32 / l -","HINWEIS: NUR ONLINE VERFÜGBAR Rotwein, trocken South Australia/ Australien Je 0,75 l",Ja,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0041.jpg,0
Fondueteller,Mäser,"€ 21,99",Kein vorheriger Preis,"€ 3,66 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0004.jpg,0
Akkustaubsauger Readyy'y BBHL22BLCK,Bosch,"€ 99,99",Kein vorheriger Preis,"€ 99,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Highland Single Malt Scotch Whisky Peated & Smokey 12 Jahre,Ben Bracken,"€ 29,99",Kein vorheriger Preis,"€ 42,84 / l -","HINWEIS: NUR ONLINE VERFÜGBAR, Je 0,7 l",Ja,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Brandy de Jerez,Vega Cadur Solera,"€ 11,99",Kein vorheriger Preis,"€ 17,13 / l -","HINWEIS: NUR ONLINE VERFÜGBAR, Solera Reserva Je 0,7 l",Ja,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0022.jpg,0
Saug- und Wischroboter,Ecovacs,"€ 349,00",Kein vorheriger Preis,"€ 349,00 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0021.jpg,0
Eis,Mövenpick,"€ 1,99",Kein vorheriger Preis,"€ 2,21 / l -",Versch. Sorten. Je 900/850/ 800 ml,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0023.jpg,0
Kaffeemaschine,Russell Hobbs,"€ 19,99",Kein vorheriger Preis,"€ 19,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Obazda Original,Alpenhain,"€ 1,49",Kein vorheriger Preis,"€ 11,92 / kg -",Versch. Sorten. Je 125 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Wasserkocher,Russell Hobbs,"€ 19,99",Kein vorheriger Preis,"€ 19,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0027.jpg,0
Popcornmaschine,Russell Hobbs,"€ 19,99",Kein vorheriger Preis,"€ 19,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0028.jpg,0
Schokolade,Milka,"€ 3,29",Kein vorheriger Preis,"€ 10,97 / kg -",HINWEIS: MIT LIDL PLUS APP 2.99 Versch. Sorten. Je 300/ 276/270/250 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0029.jpg,0
Duplo Weihnachtsmann,Ferrero,"€ 2,99",Kein vorheriger Preis,"€ 39,87 / kg -",Je 75 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0030.jpg,0
Dubai Style Pralinen,Deluxe,"€ 3,99",Kein vorheriger Preis,"€ 33,25 / kg -",Je 120 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0012.jpg,0
Mezquiriz Tempranillo Tinto Roble,Navarra,"€ 4,17",Kein vorheriger Preis,"€ 5,56 / l -","HINWEIS: NUR ONLINE VERFÜGBAR, DO, Rotwein, trocken, 2022 Navarra/Spanien 0.75l",Ja,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0015.jpg,0
Blended Malt Scotch Whisky 13 Jahre Double Cask Matured,Abrachan,"€ 24,99",Kein vorheriger Preis,"€ 35,70 / l -","HINWEIS: NUR ONLINE VERFÜGBAR, Je 0,7 l",Ja,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0017.jpg,0
Sekt,Rotkäppchen,"€ 2,88",Kein vorheriger Preis,"€ 3,84 / l -","Versch. Sorten. Je 0,75 l",Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0018.jpg,0
Messerhäcksler PEMH 2400 C4,Parkside,"€ 64,99",Kein vorheriger Preis,"€ 64,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0007.jpg,0
Magic Asia Noodle Cup,Maggi,"€ 0,99",Kein vorheriger Preis,"€ 15,47 / kg -",Versch. Sorten. Je 64/63/75 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Gemüse,Freshona,"€ 1,99",Kein vorheriger Preis,"€ 2,65 / kg -",Versch. Sorten. Je 750 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0066.jpg,0
Australische Lammfilets,Deluxe,"€ 11,99",Kein vorheriger Preis,"€ 29,97 / kg -",Versch. Sorten. Je 400 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0065.jpg,0
Radiowecker,Philips,"€ 19,99",Kein vorheriger Preis,"€ 19,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0064.jpg,0
Yogurette,Ferrero,"€ 4,75",Kein vorheriger Preis,"€ 11,88 / kg -",oder Kinder Schokolade Je Gebinde 4 x 100 g Standardpackung: 100 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0063.jpg,0
Dubai Style Schokolade,J.D. Gross,"€ 2,99",Kein vorheriger Preis,"€ 24,51 / kg -",Je 122 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Batterien,Philips,"€ 9,99",Kein vorheriger Preis,"€ 0,19 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
BellaCrema La Crema,Melitta,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / kg -",HINWEIS: MIT LIDL PLUS APP Ganze Bohnen in versch. Sorten. Je 1 kg,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0059.jpg,0
Fleischwolf MFW68640,Bosch,"€ 139,00",Kein vorheriger Preis,"€ 139,00 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0052.jpg,0
Vitalis Müsli,Dr. Oetker,"€ 2,49",Kein vorheriger Preis,"€ 4,15 / kg -",Versch. Sorten. Je 600/500/ 450 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0057.jpg,0
Pizzastein,Grillmeister,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0056.jpg,0
Küchenmaschine,Bosch,"€ 99,99",Kein vorheriger Preis,"€ 99,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Kitchen Tools Food-Processor-Aufsatz,SilverCrest,"€ 19,99",Kein vorheriger Preis,"€ 19,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Octopusarme,Deluxe,"€ 9,99",Kein vorheriger Preis,"€ 39,96 / kg -",Gewürzt und gegart. Je 250 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0049.jpg,0
Langschlitztoaster,Russell Hobbs,"€ 24,99",Kein vorheriger Preis,"€ 24,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0050.jpg,0
Kitchen Tools Mixtopfverkleinerer,SilverCrest,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0051.jpg,0
Steirisches Kürbiskernöl,Deluxe,"€ 4,99",Kein vorheriger Preis,"€ 19,96 / l -",g.g.A. Aus der Steiermark. Je 250 ml,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0042.jpg,0
Heißluftfritteuse Easy Fry Essential EY1308,Tefal,"€ 49,99",Kein vorheriger Preis,"€ 49,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Zucchini,Keine Marke,"€ 1,29",Kein vorheriger Preis,"€ 1,29 / kg -",Ursprung: Spanien Klasse I kg-Preis,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0083.jpg,0
Leberpaté Pralinen,Deluxe,"€ 2,79",Kein vorheriger Preis,"€ 18,60 / kg -",Versch. Sorten in der Packung. Je 6 x 25 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0084.jpg,0
Mini Kuchen,Favorina,"€ 1,99",Kein vorheriger Preis,"€ 11,06 / kg -",Versch. Sorten. Je 4 x 45 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0088.jpg,0
Dampfschrank S3BF,LG,"€ 899,00",Kein vorheriger Preis,"€ 899,00 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Rinder-Minutensteaks,Metzgerfrisch,"€ 5,29",Kein vorheriger Preis,"€ 16,53 / kg -",Vom Jungbullen. Küchenfertig. Je 320 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Teppich- und Polsterreiniger,Bissell,"€ 119,00",Kein vorheriger Preis,"€ 119,00 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0086.jpg,0
Überraschungstüte,Keine Marke,"€ 3,49",Kein vorheriger Preis,"€ 38,78 / kg -",Versch. Motive. Je 90 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Rohschinken,Deluxe,"€ 1,99",Kein vorheriger Preis,"€ 28,43 / kg -",Versch. Sorten. Je 70 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Waschmaschine HW70-BP14929-S,Haier,"€ 299,00",Kein vorheriger Preis,"€ 299,00 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0085.jpg,0
Schmelzkäse,Milkana,"€ 1,99",Kein vorheriger Preis,"€ 10,47 / kg -",Versch. Sorten. Je 190 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Gin Collection,Keine Marke,"€ 6,99",Kein vorheriger Preis,"€ 34,95 / l -",38/40 % vol Je 4 x 50 ml,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0072.jpg,0
Pistazien Sahnelikör,Deluxe,"€ 6,99",Kein vorheriger Preis,"€ 13,98 / l -","15 % vol Je 0,5 l",Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0073.jpg,0
Flamin‘ Hot,Lay's,"€ 1,19",Kein vorheriger Preis,"€ 15,87 / kg -",Je 75 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0070.jpg,0
Mini-Romana-Salat,Keine Marke,"€ 0,79",Kein vorheriger Preis,"€ 0,40 / Stk -",Ursprung: Spanien Klasse I Je 2 Stück,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0069.jpg,0
Roastbeef,Deluxe,"€ 16,00",Kein vorheriger Preis,"€ 20,00 / kg -","am Stück, Ca. 800 g",Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0099.jpg,0
Williams Christ Birnenbrand,Zünftler,"€ 12,99",Kein vorheriger Preis,"€ 18,56 / l -","Alter Pflaumenbrand 1 Jahr im Holzfass gereift. 40 % vol Je 0,7 l",Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0098.jpg,0
Carpaccio vom Rind,Deluxe,"€ 3,99",Kein vorheriger Preis,"€ 33,25 / kg -",Mit Parmigiano Reggiano g.U. und nativem Olivenöl extra. Je 120 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0097.jpg,0
Premium Apfel Direktsaft,Solevita,"€ 1,29",Kein vorheriger Preis,"€ 1,29 / l -",naturtrüb Je 1 l,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Edel Nougat Zapfen,Favorina,"€ 2,49",Kein vorheriger Preis,"€ 16,60 / kg -",Versch. Sorten. Je 150 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Orangensaft,Solevita,"€ 2,59",Kein vorheriger Preis,"€ 2,59 / l -",Ohne Fruchtfleisch. Je 1 l,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0094.jpg,0
Panettone,Favorina,"€ 5,99",Kein vorheriger Preis,"€ 7,99 / kg -",Versch. Sorten. Je 750 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0093.jpg,0
Direktsaft,Solevita,"€ 2,49",Kein vorheriger Preis,"€ 2,49 / l -",Versch. Sorten. Je 1 l,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0091.jpg,0
Tischtennisplatte j500A,Joola,"€ 479,00",Kein vorheriger Preis,"€ 479,00 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0107.jpg,0
Energy Drink,Red Bull,"€ 10,99",Kein vorheriger Preis,"€ 3,66 / l -","Taurin- und koffeinhaltig. Je 12x 0,25 l zzgl. 3.00 Pfand",Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0106.jpg,0
Kinder Mix,Ferrero,"€ 3,49",Kein vorheriger Preis,"€ 34,22 / kg -",Je 102 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Rocher Weihnachtsmann,Ferrero,"€ 3,29",Kein vorheriger Preis,"€ 47,00 / kg -",Je 70 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Socken 3 Paar,Reebok,"€ 5,99",Kein vorheriger Preis,"€ 2,00 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0111.jpg,0
Mousse,Deluxe,"€ 3,79",Kein vorheriger Preis,"€ 10,83 / kg -",Versch. Sorten. Je 350 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Butter,Bayernkrone,"€ 1,59",Kein vorheriger Preis,"€ 6,36 / kg -","HINWEIS: MIT LIDL PLUS APP 1.39, Je 250 g",Nein,24.11. - 29.11.,2025-11-24,2025-11-29,,0
Dessertgläser,Deluxe,"€ 2,29",Kein vorheriger Preis,"€ 19,08 / kg -",Versch. Sorten. Enthält Alkohol. Je 2x 60 g,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0100.jpg,0
Griechisches Natives Olivenöl Extra Chania Kritis,Deluxe,"€ 6,99",Kein vorheriger Preis,"€ 13,98 / l -","g.g.A. In Amphorenflasche. Je 0,5 l",Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0114.jpg,0
Daunen-Ganzjahresbettdecke,Fjödur,"€ 89,99",Kein vorheriger Preis,"€ 89,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0113.jpg,0
Nackenstützkissen,Dunlopillo,"€ 24,99",Kein vorheriger Preis,"€ 24,99 / Stk -",Details im Prospekt.,Nein,24.11. - 29.11.,2025-11-24,2025-11-29,images_marktguru/marktguru_0112.jpg,0
